Comparison with M=65536
Ns = [ 1024  2048  4096  8192 16384]
divsFE = (13.021484375, 13.060546875, 13.333251953125, 14.15087890625, 16.007080078125)
divsBE = (13.52734375, 13.64404296875, 13.756591796875, 13.8533935546875, 13.93878173828125)
divsTR = (21.484375, 21.4951171875, 23.583984375, 26.5889892578125, 28.009765625)
divsRK = (32.685546875, 33.6728515625, 36.01171875, 41.81005859375, 42.89483642578125)
divsPC = (30.466796875, 33.53759765625, 35.96533203125, 41.8863525390625, 41.19171142578125)
timesFE = (0.609375, 1.265625, 2.484375, 4.953125, 9.859375)
timesBE = (11.6875, 22.65625, 36.515625, 68.703125, 132.640625)
timesTR = (13.3125, 22.765625, 40.515625, 77.796875, 152.640625)
timesRK = (2.71875, 5.421875, 10.828125, 21.578125, 42.671875)
timesPC = (2.671875, 5.3125, 10.640625, 21.203125, 42.453125)
